AyanBaqurMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Ayan_Baqur),,,Player has completed the Ayan Baqur portion of Moarsmen on the Shores
AerbaxsProdigalMosswartStarted,Aerbax's_Prodigal_Mosswart,,,Player has started Aerbaxs Prodigal Mosswart Quest.
CollectorCookingAluNewbie,Crafter_Quest,,,You have turned in a newbie cooking arts&crafts item.
TanuaCompleted,Aun_Tanua's_War_Taiaha_Quest,,,Once players complete the Tanua quest Bachus Flufens will stamp them so they can only go on the quest once/week.
damagedshadowstone,Repaired_Shadow_Stone_Quest,,,Damaged Shadow Stone pickup timer
engorgedeaterjaw,Engorged_Eater_Jaw_Quest,,,Engorged Eater Jaw
EnterElementalCaverns,Elemental_Caverns_Quest,,,HemmikTheSlyNPC grants access to the Elemental Caverns.
PickedUpOlthoiScoutNote6,Olthoi_Weapons_Quest,,,Picked up note
AccessEmpyreanWorkshop,Shadowfire_Stone_Quest,hand Repaired Shadow Stone to Ciandra,,Flagging for access to the Empyrean Workshop
EbonGromnieKills,Ebon_Gromnie_Kill_Task,,,Ebon Gromnie Kill Counter
KilltaskViridianAnekWait,Viridian_A'nekshen_Kill_Task,,,quest timer
OswaldManualCompleted,Chasing_Oswald,,,PERMANENT - Chasing Oswald Quest
PhilterHizkRiTaken,The_Temple_of_Hizk_Ri,,,You've picked up the ancient philter. Now go collect the blood from the well of bloody tears.
ReceivedLiazkArmor,The_Temple_of_Liazk_Itzi,,,Player has received the armor for Liazk Itzi's temple.
TaskFreebooterJungleLilyComplete,Glowing_Jungle_Lily_Collector,,,Jungle Lily Freebooter
TotalGolemCoralViceroyDead,Coral_Golem_Viceroy_Kill_Task,,,You have killed some Coral Golem Viceroys
HouseStatueThorstenGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.
TempleEnlightenmentDamiana,Attribute_and_Skill_Redistribution,,,Skill sellback quest.
TotalGolemGlacialMargraveDead,Glacial_Golem_Margrave_Kill_Task,,,You have killed some Glacial Golem Magraves
enricoaugmentation,Enrico's_Betrayal,Pick up Augmentation Text,,Pickup timer for Augmentation Text
HolySymbolPickupTimer,High_Priest_of_T'thuun_Kill_Task,,,You have obtained the holy symbol from T'thuun Priest.
VaultofEternalSlumberFlag,Raising_Grael's_Island,,,Player has access to Landscape Vault of Eternal Slumber portal
BookKouQuest,Magical_Lights,,,Book Kou Quest
DefeatedKixktiXri,The_Temple_of_Ixir_Zi,,,Player has assisted in killing Kixkti Xri.
KillTaskTouTouFlyersCompleted0812,Shadow_Flyer_Kill_Task,,,Shadow Flyer Kill Task
SocietyAugReward_0210,Society_Infiltration,,,SocietyAugReward_0210 Cooldown Timer
StipendsCollectedInAMonth,Non-Quest,,,Amount of stipends player has received within a 27 day period.
SylsfearTreasureKey,Sylsfear_Quest,,,Sylsfear Dungeon Chest Key
AncientNecklaceCompleted,Asheron's_Trail,Turn in Correct necklace,,You have turned in the correct Ancient Necklace.
TentaclesTthuunComplete0408,Tentacles_of_T'thuun,,,Player has completed Blightfinger
AncientNecklacePickup,Asheron's_Trail,Pick up any necklace,,You have picked up an Ancient Necklace.
UndeadDigBone1_0812,,,,quest timer
fachubcastle,Facility_Hub_Quests,,,PERMANENT - FC Crown of Bone Quest
KilltaskDesertAreaGolemWait_0511,Golem_Hunting:_Lost_City_of_Neftet,,,Golem Hunting Lost City of Neftet
KillTaskRynthidRiftCompleted0813,Kill:_Rynthid_Rifts,,,quest timer
HizkRiEye3,The_Temple_of_Hizk_Ri,,,You have selected the correct eye in the Gauntlet.
ShoushiBraidTrident1204,Lou_Ka's_Stolen_Items,,,Retreive Lou Ka's Trident
TCSTurnin14,Drudge_Plan,,,Player has turned in a piece of torn scrap
BroodMatronCarapacePickedUp,Asheron's_Raiment_Quest_(Extreme),,,You have obtained a Brood Matron Carapace.
AerbaxsProdigalLugian_Repeat,Aerbax's_Prodigal_Lugian,,,Player has completed Prodigal Lugian at least once
ChasingOswaldViamontPrison,Chasing_Oswald,,,Chasing Oswald Viamont Prison flagged
KillTaskTouTouPillars0812,Shadowy_Pillar_Kill_Task,,,Shadowy Pillar Kill Task
ParadoxEggStarted,Paradox-touched_Olthoi_Egg_Quest,,,quest timer
PickedUpOlthoiScoutNote4,Olthoi_Weapons_Quest,,,Picked up note
RepeatMonougaExperimentLog,Monouga_Laboratory,,,Player has turned in Monouga Experiment Log once before
ResearchingtheLostRitualsComplete_0612,Researching_the_Lost_Rituals,,,Player counter for Sister tasks
TuskerBloodCollectionWait,Snow_Tusker_Blood_Collection,,,Snow Tusker Blood Sample Turning
GromnieToothbrushAsh,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.
MayoiMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Mayoi),,,Player has completed the Mayoi portion of Moarsmen on the Shores
SanctumXiRuEnter,Soul_Stone_Quest,,,You have been acknowledged as one who may enter Xi Ru's temple.
aerbaxshadowdefeatedrepeat,Aerbax's_Citadel,Be part of Fellowship when Aerbax's Shadow is defeated in final location a second time,,Player has already killed Aerbax before
TempleEnlightenmentVervain,Attribute_and_Skill_Redistribution,,,Skill sellback quest.
GYColoOrnateBoneKeyTurnedIn,Lord_Mhoire_Quest,,,Player has turned in ornate bone key
MuldaveusTornPage4,The_Hunt_for_Muldaveus,,,Hunt for Muldaveus Torn Journal Page 4
CHDSCompletedOnce0608,Harlune's_Diplomacy,,,Player stamp for first completion of Harlunes Diplomacy.
GromnieToothpasteCopper,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.
ScrollofWater_Pickup,Tanada_House_of_Fire_Quest,,,Player has picked up the Scroll of Water
EFMLWestManaFieldUsed,Aetheria_Quest,,,Used Aligned Mana Stone in EF Middle Level West Aetheria Mana Field
AerbaxChestKey1Pickup,,,,Picked up the first Aerbax Key.
CryptCrimsonNightFlagged,Silifi_of_Crimson_Night_Quest,,,Flagged to enter Crypt of Crimson Night
foundjestermarker7,Jester's_Lost_Marbles,,,Found Jester Marker
VirindiRescueCompleted0612,Virindi_Rescue,,,quest timer
AerbaxPlatformAccess,Aerbax's_Citadel,Be part of Fellowship when the turn in happens to flag to enter,Don't need to be the person who turns in,Player has started Aerbax Citadel
FalatacotTome_Pickup,Falatacot_Medallion_(Extreme),,,Player has picked up the Falatacot Tome
GraelIslandTempleWestAccess1215,Raising_Grael's_Island,,,Player has access to Western Catacombs Portal
KilltaskElemental_0609,Elemental_Kill_Task,,,Elemental Kill Task
VoidCrystalPickup,Collegium_Occultus_Ring_Quest,,,Void Crystal pickup timer
NoteBurunHistory7,Burun_History,,,You have learned a little about Burun History.
BagPuzzleWhiteBagCorrect,Clutch_of_Kings_(Reeshan),Hand correct marbles to white bag,,You picked the correct contents for the white bag.
fachubmountainsewer,Facility_Hub_Quests,,,PERMANENT - FC Mountain Sewer Quest
greenbloodgem,Ricardo's_Blood_Gem,,,Ricardo's Blood Gem - Green
FledgemasterTuskRepeat,Fledgemaster's_Tusk_Quest,,,Player has completed Fledgemaster Tusk once.
GearGromnie,Bronze_Statues_Quest,,,Player has picked up a Gromnie Gear and cannot pick up another for 1 day.
TCSTurnin12,Drudge_Plan,,,Player has turned in a piece of torn scrap
UlgrimsDrinkingContestFlag,Ulgrim's_Drinking_Contest,,,Player is competing in Ulgrims Drinking Contest
KillTaskSawatoBandit,Sawato_Extortion,,,kill counter
MosswartTornShroud,Singularity_Weapons_Quest,Pick up Torn Mosswart Shroud from Gragghk,,Torn Mosswart Shroud
AssaultVaultAccessGranted0105,Assault_Quest,,,You have obtained access to the Royal Sewers!
ColoR17Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 17
DireChampDrudge,Dire_Champions,,,Player has killed Dire Champion Drudge.
CoilSkeleton,Bronze_Statues_Quest,,,Player has picked up a Skeleton coil and cannot pick up another for 1 day.
PickedUpJournalGarethDain,Search_for_Gareth_Dain,,,Picked up Gareth Dain's Journal.
brewmasterback,Brewmaster_Quest,,,Brew Master Quest Pickup Timer Back
UndeadMechanismPickup11,Undead_Mechanic_Quest,,,Reign of Terror Part III - Undead Mechanism
BraceletOfPassage,Plateau_Village_Transit,,,Wearing Bracelet Of Passage
petshopquestcounter,Pet_Shop_Quest,,,Pet Shop Quest Turnins
KeerikBeaten,Clutch_of_Kings_(Keerik),,,You've beaten Keerik.
DeconstructionStarted_0213,Save_Karul,,,quest timer
KilltaskViridianZefir,Viridian_Zefir_Kill_Task,,,kill counter
TalkedToBuilder,,,,You have talked to the Stronghold Collectors.
TalkedToTackleMaster,Non-Quest,,,Player has spoken to the Tacklemaster.
EldrytchWebMember,Eldrytch_Web_Initiation,,,Player is a member of Eldrytch Web
mukkiraspectofgraelquest_wait,Mukkir_Aspect_of_Grael_Quest,,,Player has completed Mukkir Aspect of Grael Quest
CanPickupLargeCorruptedManaShard,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player can pick up Large Corrupted Mana Shard for Deru Quest.
CrestLugian,"Arm,_Mind,_Heart_Quest",,,Lugian Commander Trophy
LorcaSammelNecklaceAcquired,The_Missing_Necklace,,,Lorca Sammel's Lost Necklace
ExplorationMarkersCraterCrasherFound,Dereth_Exploration,,,Amount of Crater Crasher Exploration Markers found.
fachubsuntik,Facility_Hub_Quests,,,PERMANENT - FC Acid Axe Quest
BloodGemQuestCompleted0805,Ricardo's_Blood_Gem,,,Ricardo's Blood Gem Complete
DistilleryDewQuest,Floating_City_Quest,,,Distillery Dew Quest
NoteRegicideHoltburgPickUp,Elysa's_Favor_Quest,,,Player has picked up the Cryptic Note
spellcastingglovesactive,Fiun_Spellcasting_Gloves_Quest,,,Flagged to enter Abayar's Study
StipendTimer_Monthly,Non-Quest,,,Monthly timer for receiving up to 4 stipends.
AmeliaToysInProgress,Amelia's_Lost_Toys,Speak to Amelia,,Flags a player while they are active in the Amelia Toys quest
DesertAreaCollectionPayoteStart_0511,Prickly_Pear_Collecting,,,Prickly Pears
DireChampBanderling,Dire_Champions,,,Player has killed Dire Champion Banderling.
FlaggedMoarsmanCity,Non-Quest,,,FlaggedMoarsmanCity
PickedUpOlthoiScoutNote1,Olthoi_Weapons_Quest,,,Picked up note
WesternPedestalShard_Pickup,Bur_Portal_Summoning_(High),,,Player has picked up the Shard of the Western Pedestal.
PalliumObtained,Lady_Aerfalle_Quest,,,Aerfalle's Pallium
KilltaskViridianWaspWait,Viridian_Wasp_Kill_Task,,,quest timer
AndrilosLives,Lunnum's_Disappearance,,,Andrilos allowed to live
BoyGrubTookPah,Putiputipuh's_Onga,,,Has the player picked up a Pan?
GearknightPartsCollectionWait_0513,Gear_Knight_Parts,,,Collect Gear Knight Parts
GromnieToothpickCopper,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.
ShieldSimulacra,Simulacra_Infiltrators,,,Shield of the Simulacra
ZaikhalDefensePlatinumComplete_0511,Defense_of_Zaikhal_(Platinum),,,Completed Defense of Zaikhal (Platinum)
BroodMothersReckBlue42,Moarsman_Spawning_Pools,,,Brood Mothers Riddle
RoadsNuhmudira2,Soul_Stone_Quest,,,You have been sent to collect an urn for Nuhmudira.
TuskCrimsonbackPickUp,Tusker_Crimsonback_Tusk_Quest,,,Tusk picked up from a Crimsonback Tusker.
TuskerG,Tusker_Guard_Kill_Task,,,Tusker Guard Kill Task Main Flag
CopperInvaderLordHelm,Defense_of_Zaikhal_(Copper),,,Timer for Copper Lord Helm
AncientDiscoveries,Dericost_Ruin_Quest,Loot Ancient Discoveries Book,,Dericost Ruin Quest - Reward Item Pickup Timer
progenitorcrystal5pickup,Crystalline_Adventurer,,,Picked up Progenitor Crystal
TALKEDTOOWNER,,,,Player has already spoken with owner
TornStripofParchmentPickupTimer,Lost_Lore,,,Player has picked up Torn Strip of Parchment of Prophetess
GotSpearTokenHalf1,Spear_of_the_Given_Heart_Quest,,,got the spear token half
shardoftheabyssaltotempickuptimer,Splitting_Grael_(High),,,Picked up Shard of the Abyssal Totem
babythrungus1,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus1 flag
ReeshanComplete,Clutch_of_Kings_(Reeshan),,,You've completed the Reeshan quest.
RavenFragment,Sepulcher_of_Nightmares,,,Pickup timer for Raven Fragment - Sepulcher of Nightmares
PortalServitorItemsStarted,Asheron's_Trail,,,Player has talked to the Portal Servitor.
TuskGoldenbackPickUp,Goldenback_Tusker_Tusk_Quest,,,Tusk picked up from a Goldenback Tusker.
gavenorthgateharmoniccrystal,Aerbax's_Citadel,,,Player has turned in North Gate Harmonic Crystal
LostMessengerGotJournal,Lost_Messenger,,,Player has received Messengers Journal
petpenguinwait,Pet_Penguin_Quest,,,Completed Pet Penguin Quest
progenitorcrystal6pickup,Crystalline_Adventurer,,,Picked up Progenitor Crystal
RenegadeLeggingsPickedUp,First_Contact,,,You have picked up the Renegade's leggings.
StoneofAlbarel_Pickup,Diemos_Flagging,,,Player has picked up the Stone of Albarel
HoltburgRedoubtHandbell1204,Worcer's_Missing_Heirlooms,Loot Bronze Handbell,,Retreive Hardunna's Handbell
YaojiLouKaQuest,Lou_Ka's_Stolen_Items,,,Yaoji Lou Ka Quest
viamontianmanatarmskillcount,Viamontian_Man-at-Arms_Kill_Task,,,Viamontian Man-at-Arms Kill Counter
fachubglendenwood,Facility_Hub_Quests,,,PERMANENT - FC Glenden Wood Dungeon Quest
GreenMireYariQuest,Green_Mire_Grave_Quest,,,Picked Up Broken Green Mire Yari
ravenouseaterjaw,Ravenous_Eater_Jaw_Quest,,,Ravenous Eater Jaw
TanadaConsulsMessageShard_Pickup,Tanada_House_of_Water_Quest,,,Player has picked up Tanada Consuls Message Shard
TurshTotemLowComplete_0511,Assault_Quest_(Low),,,Completed Assault (Low)
GearDrudgeGiven,Bronze_Statues_Quest,,,Player has given this gear and cannot give another for one day.
HeardBlindSnowmanSadStory,Three_Eyed_Snowman_Kill_Task,Talk to Blind Snowman,,Player has heard the Blind Snowmans sad story.
knorrquiddityseedquestrepeat,Knorr_Quiddity_Seed_Quest,,,Flag for Knorr Quiddity Seed Quest initial turn in
NewbieQuestStampNanto,Water_for_Ji_Ra_Ping,,,Nanto Stamp Quest
VirindiAxe,Caul_Flagging,,,Quintessence Axe
TwilightFragment,Sepulcher_of_Nightmares,,,Pickup timer for Twilight Fragment - Sepulcher of Nightmares
Feb01CLQuest11,Hieromancer's_Armor,,,Sasalia's Key
KillTaskPhyntosKiller1109,Killer_Phyntos_Wasp_Kill_Task,,,Phyntos Wasp Kill Task
TaskFreebooterJungleFlowerComplete,Mana-Infused_Jungle_Flower_Collector,,,Mana Flower Freebooter
DefeatedBonecrunch,Aerbax's_Prodigal_Drudge,,,Player has defeated Bonecrunch
StipendTimer_0812,Non-Quest,,,Amount of stipends received.
voidcrystalfinished,Collegium_Occultus_Ring_Quest,,,Retrieved Void Crystal
foundjestermarker2,Jester's_Lost_Marbles,,,Found Jester Marker
FireworksUsed0105,Non-Quest,use Fireworks housing device,,You've set off some New Years fireworks.
DirelandsMineCommandersGemPickupTimer,Necklace_of_the_Elemental_Adepts_Quest,,,Direlands Mine Commander's Gem pickup timer
HoltburgComplete,Elysa's_Favor_Quest,,,Player has completed the Yaraq Regicide Quest
TaskGrave1JawCollectStarted,Undead_Jaw_Collection,,,Pyre Skeleton Jawbone Collection
TaskGrave2FedExStarted,Graveyard_Delivery,,,Started Massilor Supplies
diremattekarkillcount,Dire_Mattekar_Kill_Task,,,Dire Mattekar Kill Counter
graelschamberportalflag,Mukkir_Aspect_of_Grael_Quest,,,Player has access to Graels Chamber
GromnieToothpickSwamp,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.
HarvesterInitialQuest,,,,Harvester in the Mist
BelindaKillTasksStart,Rare_Game_Kill_Task,Speak to Belinda Du Loc,,Player has started Belindas Kill Tasks
glendeninvadersblockadeguardstarted,Glenden_Wood_Invaders,Talk to Londigul,,Started Glenden Wood Invaders Blockade Guards portion of quest
GuardianoftheDeruTrees_Flag,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,"Player flag for Roots of Skuld, Urd and Verdandi portal."
StrongholdLugianBuilder,Town_Founder,,,Your status for donations to the Lugian Stronghold Collector.
BlessedCaveStarted_0912,Releasing_the_Light,Speak with Shah-hi,,quest timer
BoyGrubTookAhna,Putiputipuh's_Onga,,,Has the player picked up an Ahna?
TanadaHouseofEarthStarted,Tanada_House_of_Earth_Quest,,,Player has started Tanada House of Earth Quest
TaskDIDelivery,Dark_Isle_Delivery,,,Society Task Dark Isle Delivery
TaskDIScoutComplete,Dark_Isle_Scouting,,,Cooldown for Society Task Dark Isle Scouting
GotWardingRing,Fetish_of_the_Dark_Idols_Quest,,,You've looted a warding ring recently.
MenacetsNote,Elysa's_Favor_Quest,,,Writ Nov Quest 2
ringofkarlun,Knights_of_Karlun_Quest,,,Knights of Karlun
FiunHealingMachineStarted_0511,Fiun_Healing_Machine_Quest,,,StartFiunHealingMachine flagged
OlthoiHunting8,Mutilator_Pincer_Quest,,,Olthoi Hunting 8
YaraqRegicideBanditGreeting,Elysa's_Favor_Quest,,,Yaraq Bandit has said hello to player
HoltburgAfrinRye1204,Alfrin's_Stolen_Supplies,Loot Bag of Rye,,Retreive Alfrin's Bag of Rye Seed
notefromaunbernawa,An_Aun_Hea_Romance,,,Note from Aun Bernawa to Hea Toneawa
TempleForgetfulnessDragonsblood,Attribute_and_Skill_Redistribution,,,Skill sellback quest.
MaskNoir1,Noir_Assassination_Investigation,,,You're wearing the bandit mask.
ProgenitorIngotWait,Crystalline_Adventurer,,,Shade of Jaqu wait timer
PickedUpKingsCrown,Bobo's_Medicine,,,Pickup timer for King's Crown
PickedUpOlthoiScoutNote3,Olthoi_Weapons_Quest,,,Picked up note
PickedUpPhatLewt,Ulgrim's_Casting_Stein,,,Picked up Ulgrim's Stout
KillTaskTouTouKnightsCompleted0812,Void_Lord_Kill_Task,,,Void Lord Kill Task
TrustBetrayalBug0905,Of_Trust_and_Betrayal,,,Of Trust and Betrayal quest started.
ringofremembrancepickuptimer,Disturbance_in_the_Ley_Lines,,,Picked up Ring of Remembrance
fachubmountainsewerportal_flag,Facility_Hub_Quests,,,Player is flagged to use the Mountain Sewer portal
RiddleMushroom,Gaerlan's_Citadel,,,Player has received the corresponding Riddle.
FinishedNoir1,Noir_Assassination_Investigation,,,You've completed the first noir quest.
HugeMonougaRib_Pickup,Monouga_Feeding_Pit_Quest,,,Player has picked up Huge Monouga Rib
moufreward,Rescuing_Mouf_P,,,Received Mouf Reward
ProdigalMonougaCompleted0707,Monouga_Laboratory,,,Player has completed Prodigal Monouga
ShoushiBraidNecklace1204,Lou_Ka's_Stolen_Items,,,Retreive Bai Den's Necklace
GromnieToothbrushSwamp,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.
HaltDericostRitualQuestFlag,Halt_Dericost_Ritual_Quest,,,One time Flag for Halt Dericost Ritual Quest
KilltaskDesertAreaMumiyahWait_0511,Mumiyah_Hunting:_Lost_City_of_Neftet,,,Mumiyah Hunting Lost City of Neftet
ritualchestkeypickuptimer,Lunnum's_Return,,,Picked up Ritual Chest Key
BanderlingHauntOilyStoneAcquired0105,Banderling_Haunt,Loot Oily Stone,,Player has picked up the Oily Stone.
QinXikitComplete,Clutch_of_Kings_(Browerk),,,You've received the reward for the Qin Xikit Temple.
SanctumXiRuJif,Soul_Stone_Quest,,,You have been given Jif Loz's blessing to enter Xi Ru's Temple.
GauntletStage1Complete,Gauntlet,,,Player completed Stage 1 in Gauntlet.
ColoR6Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 6
PickedUpBroodQueenHead,Olthoi_Armor,,,Picked up Brood Queen Head
UlgrimsDrinkingContestDrinks,Ulgrim's_Drinking_Contest,,,Player is competing in Ulgrims Drinking Contest
KilledMenacet,Elysa's_Favor_Quest,,,Writ Nov Quest 1
ShirtJalehTaken,Heart_of_Innocence_Quest,,,You got the heart of Jaleh
EmptySoul,Path_of_the_Jojii_Adherent,,,You've begun the Empty Soul quest.
shardoftheblackspearpickuptimer,Aspect_of_Grael_Quests,,,Player has picked up Shard of the Black Spear
YaraqNasunLetter,Note_of_Congratulation,,,Yaraq Nasun Letter Quest
CarpWing,Training_Academy_Quest,Loot wing from Carpenter Wasp,Found in Tutorial Academy,Player has picked up a Carpenter Wasp wing in the Academy
DeliveredCureBobo_0807,Bobo's_Medicine,,,Delivered Cure for Bobo
KillPhyntosQueenPickup1109,Phyntos_Queen_Quest,,,Pickup timer for Phyntos Queen Abdomen
ToTheBarkeep,Training_Academy_Quest,Talk to any starter town lifestone greeter,Blue Armor,Sent to the Barkeep
brewmasterpages,Brewmaster_Quest,,,Brew Master Quest Pickup Timer Pages
InfiltrationComplete_0511,Balor's_Rescue,,,Handed Coda to Lord Kresovus
ReceivedPieceofPaper,Aerbax's_Prodigal_Mosswart,,,Player has received the Piece of Paper from Pile of Stained Papers.
BurRecall_Wait,Bur_Recall_Quest,,,Wait timer for Bur Recall
GearknightInvasionHighOreCollectWait_1009,Aetherium_Ore_Collection,,,Turned in 10 Aetherium Ore in Direlands Invasion
PetDrudgeCompleted_1111,Nen_Ai's_Pet_Drudge,,,Completed Nen Ai's Pet Drudge
MuMuRight,Oswald's_Dirk_Quest,,,Correct answer on Mu Mu
EmptySoulDragon,Path_of_the_Jojii_Adherent,,,You've been allowed to enter the Dungeon for the Dragon part of Empty Soul.
NoteDukeEnricoAcquired0905,Enrico's_Betrayal,,,Pickup timer for To My Dear Uncle
CarenziRace,Carenzi_Races,,,Started a Race
HizkRiEntrance,The_Temple_of_Hizk_Ri,,,You've been given the entrance exam for Hizk Ri's temple; go pass it!
TempleForgetfulnessHyssop,Attribute_and_Skill_Redistribution,,,Skill sellback quest.
FrozenBlackCrystal_Pickup,Necklace_of_the_Golden_Flame_Quest,,,Player has picked up the Frozen Black Crystal
AncientGobletPickup,Asheron's_Trail,Pick up any goblet,,You have picked up an Ancient Goblet.
CollectorFletchingShoMid,Crafter_Quest,,,You have turned in a Mid fletching arts&crafts item.
copperknightmedallion,Defense_of_Zaikhal_(Copper),,,Defense of Zaikhal Medallion Pickup Timer Copper
PickedUpGirthDrudgeFight,Drudge_Fight,,,You've picked up the Drudge Fight Belt.
KilltaskMoguthMoarsmanWait,Moguth_Moarsman_Kill_Task,,,Moguth Moarsman Kill Task
SentryTaskComplete,Training_Academy_Quest,Turn Protection Orb into Sentry,Entrance of 2nd level of Tutorial Academy,Sentry Task Completed
floesharkkillcount,Floeshark_Kill_Task,,,Floeshark Kill Counter
TanuaCompleted01,Aun_Tanua's_War_Taiaha_Quest,,,Players may pick the key to the spear altar off the Tumerok Gladiator only once per week
ChampionKillQuest1,Hunt_for_Aun_Ralirea,Kill Aun Ralirea,,Kill Aun Ralirea
SpokeWithSlithe,Arcane_Pedestal_Quest,,,Player has spoken with Slithe Tradittor and may go thru portal
ExplorationMarkersFound,Dereth_Exploration,,,Amount of Exploration Markers found.
HiveEvisPincer_0513,Hive_Eviscerator_Pincer_Quest,Pick up Pincer,,Hive Eviscerator Pincer
SpokeToSsavish,Grael's_Rage,,,Ssavish spoken to
HouseStatueSkeletonGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.
EmptySoulShield,Path_of_the_Jojii_Adherent,,,You've received the Shield for Empty Soul.
FreebooterKillTaskBoss30809,Moarsmen_Jailbreak,,,Large Verdant Moarsman Kill Task
SanctumXiRuKir,Soul_Stone_Quest,,,You have been given Kir Loz's blessing to enter Xi Ru's Temple.
foundjestermarker10,Jester's_Lost_Marbles,,,Found Jester Marker
KilltaskDesertAreaGolem_0511,Golem_Hunting:_Lost_City_of_Neftet,,,Golem Hunting Lost City of Neftet
EFULCenterManaFieldUsed,Aetheria_Quest,,,Used Aligned Mana Stone in EF Upper Level Center Aetheria Mana Field
GotSpearTokenHalf2,Spear_of_the_Given_Heart_Quest,,,got the spear token half
HelmSimulacra,Simulacra_Infiltrators,,,Helm of the Simulacra
BookErcelQuest,Ercel's_Lost_Book,,,Retreive Ercel's Book
MarriageCompleted,Wedding_Trials,,,Player has been married
